rank,id,zh,cat,score,conf,danbooru,danbooru_adj,sfw_penalty,civitai,d_s,c_s,p_s,t_s,f_s,x_s,aliases
36,ball_gag,口塞,toy,53.2,B,29433,29433,1.0,gag:259,72.8,80.5,10.0,35.0,25.0,30.0,"ball_gag,gag,gag"
37,footjob,足交,act,51.75,A,10254,10254,1.0,footjob:146,65.3,72.2,0.0,48.0,40.0,50.0,"footjob,footjob"
38,vibrator,振动棒,toy,51.14,A,28142,28142,1.0,vibrator:65,72.4,60.6,10.0,45.0,40.0,35.0,"vibrator,vibrator"
39,deepthroat,深喉,act,50.93,A,6810,6810,1.0,deepthroat:231,62.4,78.8,0.0,45.0,30.0,40.0,"deepthroat,deepthroat"
40,bukkake,群射,finish,50.91,A,15395,15395,1.0,bukkake:175,68.2,74.8,0.0,40.0,35.0,40.0,"bukkake,bukkake"
41,spanked,打屁股,interaction,48.76,A,5534,5534,1.0,spanking:133,60.9,70.9,10.0,40.0,30.0,35.0,"spanked,spanking"
42,blindfold,眼罩,toy,45.54,B,26913,26913,1.0,blindfold:49,72.1,56.6,10.0,30.0,20.0,25.0,"blindfold,blindfold"
43,female_ejaculation,潮吹,reaction,45.34,A,13278,13278,1.0,squirt:8,67.1,31.8,10.0,55.0,50.0,45.0,"female_ejaculation,squirt"
44,panties,内裤,clothing,44.91,B,753123,587435,0.78,—,93.9,0.0,38.2,40.0,25.0,35.0,panties
45,vaginal,阴道性交,act,44.87,A,250433,250433,1.0,—,87.9,0.0,0.0,70.0,50.0,40.0,vaginal
46,hitachi_magic_wand,AV棒,toy,44.8,A,4094,4094,1.0,vibrator:65,58.8,60.6,5.0,40.0,35.0,30.0,"hitachi_magic_wand,vibrator"
47,garter_straps,吊带袜,clothing,44.3,C,106351,106351,1.0,—,81.8,0.0,80.0,25.0,20.0,35.0,"garter_straps,garter_belt"
48,sex_from_behind,后入,act,42.2,A,90048,90048,1.0,—,80.7,0.0,0.0,65.0,55.0,45.0,"sex_from_behind,doggystyle"
49,cowgirl,骑乘,act,40.06,A,52546,52546,1.0,—,76.9,0.0,0.0,60.0,60.0,40.0,cowgirl_position
50,cum_in_mouth,口爆/口内射精,finish,39.76,A,36124,36124,1.0,—,74.2,0.0,0.0,60.0,55.0,55.0,cum_in_mouth
51,masturbation,自慰,act,38.97,A,44844,44844,1.0,—,75.7,0.0,0.0,60.0,45.0,40.0,masturbation
52,bodysuit,紧身衣,clothing,38.92,C,158307,142476,0.9,—,83.9,0.0,35.0,30.0,20.0,30.0,bodysuit
53,leotard,连体衣/高叉,clothing,38.6,C,269622,237267,0.88,—,87.5,0.0,34.0,25.0,20.0,25.0,leotard
54,bra,胸罩,clothing,37.81,C,248302,186226,0.75,—,85.8,0.0,25.5,30.0,20.0,25.0,bra
55,orgasm,高潮,reaction,37.65,B,24112,24112,1.0,—,71.3,0.0,15.0,50.0,40.0,40.0,"orgasm,female_orgasm"
56,kissing,接吻,act,37.45,B,81711,69454,0.85,—,78.8,0.0,17.0,35.0,55.0,30.0,kiss
57,assertive_female,主动女性/痴女,interaction,36.95,B,15398,15398,1.0,—,68.2,0.0,20.0,40.0,75.0,35.0,assertive_female
58,tongue_out,吐舌,reaction,36.86,C,363503,254452,0.7,—,88.0,0.0,29.8,20.0,15.0,25.0,tongue_out
59,elbow_gloves,长手套,clothing,36.06,C,369295,313900,0.85,—,89.5,0.0,29.8,15.0,15.0,20.0,elbow_gloves
60,skirt_lift,掀裙,act,35.86,C,86181,86181,1.0,—,80.4,0.0,40.0,20.0,20.0,15.0,skirt_lift
61,missionary,传教士,act,35.8,B,41458,41458,1.0,—,75.2,0.0,0.0,50.0,35.0,30.0,missionary
62,sex_toy,性玩具,toy,35.01,B,65060,65060,1.0,—,78.4,0.0,5.0,40.0,30.0,25.0,sex_toy
63,cunnilingus,舔阴,act,35.01,B,14074,14074,1.0,—,67.5,0.0,0.0,55.0,40.0,35.0,cunnilingus
64,leather,皮革装,clothing,34.86,B,18622,18622,1.0,—,69.5,0.0,20.0,40.0,20.0,40.0,leather
65,pussy_juice,爱液,reaction,34.81,C,135266,135266,1.0,—,83.5,0.0,10.0,30.0,25.0,20.0,pussy_juice
66,saliva,唾液/口水,reaction,34.28,C,136333,115883,0.85,—,82.4,0.0,17.0,25.0,20.0,20.0,saliva
67,cum_on_breasts,胸射,finish,33.88,B,48467,48467,1.0,—,76.3,0.0,0.0,40.0,30.0,30.0,cum_on_breasts
68,fingering,指交,act,33.78,B,40989,40989,1.0,—,75.1,0.0,0.0,40.0,35.0,30.0,fingering
69,cum_in_ass,肛内射精,finish,33.37,B,18762,18762,1.0,—,69.6,0.0,0.0,45.0,35.0,35.0,cum_in_ass
70,rope,绳索,toy,32.93,C,62833,40841,0.65,—,75.1,0.0,12.8,30.0,25.0,25.0,rope
71,condom,避孕套,toy,32.8,C,41441,41441,1.0,—,75.2,0.0,5.0,35.0,30.0,20.0,condom
72,undressing,脱衣过程,act,32.49,C,64393,64393,1.0,—,78.3,0.0,15.0,25.0,20.0,15.0,undressing
73,reverse_cowgirl,反向骑乘,act,32.32,B,11456,11456,1.0,—,66.1,0.0,0.0,45.0,40.0,30.0,reverse_cowgirl_position
74,double_penetration,双插入,act,32.3,B,12741,12741,1.0,—,66.8,0.0,0.0,45.0,30.0,35.0,double_penetration
75,peeing,失禁/排尿,reaction,31.9,B,13361,13361,1.0,—,67.2,0.0,5.0,40.0,25.0,35.0,peeing
76,handcuffs,手铐,toy,31.73,C,15588,15588,1.0,—,68.3,0.0,10.0,35.0,25.0,30.0,handcuffs
77,standing_sex,站立性交,act,31.68,B,19294,19294,1.0,—,69.8,0.0,0.0,40.0,30.0,25.0,standing_sex
78,trembling,颤抖,reaction,29.38,C,95955,76764,0.8,—,79.5,0.0,8.5,15.0,15.0,10.0,trembling
79,facesitting,颜面骑乘,act,29.32,C,4663,4663,1.0,—,59.7,0.0,0.0,42.0,25.0,35.0,sitting_on_face
80,spitroast,前后夹击,act,29.21,B,6013,6013,1.0,—,61.5,0.0,0.0,40.0,25.0,30.0,spitroast
81,breast_sucking,吸乳,act,29.19,C,15290,15290,1.0,—,68.1,0.0,0.0,30.0,35.0,20.0,breast_sucking
82,rolling_eyes,翻白眼,reaction,29.11,C,18678,18678,1.0,—,69.5,0.0,15.0,20.0,15.0,25.0,rolling_eyes
83,anal_beads,肛珠,toy,28.98,C,8643,8643,1.0,—,64.1,0.0,0.0,35.0,25.0,30.0,anal_beads
84,cum_on_hair,射发,finish,28.6,C,26432,26432,1.0,—,72.0,0.0,0.0,25.0,20.0,20.0,cum_on_hair
85,butt_plug,肛塞,toy,28.36,C,6468,6468,1.0,—,62.0,0.0,0.0,35.0,25.0,30.0,butt_plug
86,prone_bone,俯卧后入,act,27.89,C,5836,5836,1.0,—,61.3,0.0,0.0,35.0,25.0,25.0,prone_bone
87,hair_grab,抓发/拉发,interaction,27.36,C,10336,10336,1.0,—,65.4,0.0,5.0,25.0,20.0,20.0,grabbing_another's_hair
88,irrumatio,强制口插,act,25.47,C,6811,6811,1.0,—,62.4,0.0,0.0,25.0,15.0,20.0,irrumatio
89,anilingus,舔肛,act,25.15,C,2883,2883,1.0,—,56.3,0.0,0.0,30.0,20.0,25.0,anilingus
90,spooning,侧入,act,25.12,C,2843,2843,1.0,—,56.2,0.0,0.0,30.0,25.0,20.0,spooning
91,nipple_clamps,乳夹,toy,24.87,C,1574,1574,1.0,—,52.1,0.0,5.0,30.0,25.0,25.0,nipple_clamps
92,full_nelson,全尼尔森,act,24.57,C,3959,3959,1.0,—,58.6,0.0,0.0,25.0,20.0,20.0,full_nelson
93,mating_press,挤压打桩位,act,24.4,C,5203,5203,1.0,—,60.5,0.0,0.0,20.0,30.0,15.0,mating_press
94,thigh_sex,腿交,act,23.98,C,4810,4810,1.0,—,59.9,0.0,0.0,20.0,25.0,15.0,thigh_sex
95,buttjob,臀交摩擦,act,23.33,C,2795,2795,1.0,—,56.1,0.0,0.0,25.0,15.0,15.0,buttjob
96,drinking_cum,吞精,finish,10.0,C,0,0,1.0,—,0.0,0.0,0.0,35.0,30.0,30.0,drinking_cum
97,cum_drip,精液滴落/溢出,finish,8.25,C,0,0,1.0,—,0.0,0.0,0.0,30.0,25.0,20.0,cum_drip
